Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,model,split,month,Activity,Num Annotations,Day_Night,SunPos_azimuth,SunPos_zenith,Hour,Weekday,Weekday_name,Timeslot,Timeslot_name,precision,recall,accuracy,f1_score
20210109,clip_50_2339,115,09/01/2021 23:39,-0.5,86,0,-2.6,192,4.5,0,0,YOLOv5,feb_month,jan_apr_aug,0.000942486,2,night,4.548553561,144.8479115,23,5,Saturday,8,Late Evening,0.666666667,1,0.666666667,0.8
20210110,clip_0_0000,5,10/01/2021 00:00,-0.2,86,0,-2.2,195,5,0,0,YOLOv5,feb_month,jan_apr_aug,0.000924224,5,night,12.92861372,144.4118005,0,6,Sunday,1,Early Post-Midnight,,0,0,0
20210110,clip_22_0958,5,10/01/2021 09:58,1.1,93,0,0.1,226,2.1,81,0,YOLOv5,feb_month,jan_apr_aug,0.007175962,5,day,158.9663557,81.07304211,9,6,Sunday,4,Late Morning,1,1,1,1
20210110,clip_28_1230,5,10/01/2021 12:30,3.2,79,0,0,261,2,158,10,YOLOv5,feb_month,jan_apr_aug,0.025733734,18,day,194.6021359,79.91054288,12,6,Sunday,5,Early Afternoon,0.782608696,1,0.782608696,0.87804878
20210110,clip_36_1607,75,10/01/2021 16:07,0.2,93,0,-0.8,223,2.1,0,0,YOLOv5,feb_month,jan_apr_aug,0.005242481,10,night,241.5410281,97.91326368,16,6,Sunday,6,Late Afternoon,0.538461538,0.7,0.4375,0.608695652
20210111,clip_15_0641,5,11/01/2021 06:41,3.3,98,0.1,2.9,201,4.5,0,0,YOLOv5,feb_month,jan_apr_aug,0.006389216,5,night,116.7610375,98.82268059,6,0,Monday,3,Early Morning,0.5,1,0.5,0.666666667
20210111,clip_22_0957,11,11/01/2021 09:57,5.2,98,0.1,4.9,223,5.9,31,0,YOLOv5,feb_month,jan_apr_aug,0.005336911,6,day,158.6121283,80.9906184,9,0,Monday,4,Late Morning,0.833333333,0.833333333,0.714285714,0.833333333
20210111,clip_39_1802,115,11/01/2021 18:02,5.7,97,0.4,5.2,257,5.4,0,0,YOLOv5,feb_month,jan_apr_aug,0.004603176,5,night,264.587551,112.5731673,18,0,Monday,7,Early Evening,,0,0,0
20210112,clip_0_0000,5,12/01/2021 00:00,1.2,88,0,-0.5,314,2.7,0,0,YOLOv5,feb_month,jan_apr_aug,0.001702141,5,night,12.54651937,144.1257474,0,1,Tuesday,1,Early Post-Midnight,1,1,1,1
20210112,clip_10_0434,115,12/01/2021 04:34,-1.2,81,0,-4.1,287,1.9,0,0,YOLOv5,feb_month,jan_apr_aug,0.003210742,5,night,91.0313005,115.3656149,4,1,Tuesday,2,Late Post-Midnight,1,1,1,1
20210112,clip_26_1540,5,12/01/2021 15:40,0.9,69,0,-4.2,297,4.6,0,0,YOLOv5,feb_month,jan_apr_aug,0.010040899,8,day,236.0839215,94.40739319,15,1,Tuesday,6,Late Afternoon,0.7,0.875,0.636363636,0.777777778
20210113,clip_14_0617,5,13/01/2021 06:17,-0.4,98,0,-0.7,0,0,0,0,YOLOv5,feb_month,jan_apr_aug,0.005664027,2,night,111.6359958,101.6159115,6,2,Wednesday,3,Early Morning,0.666666667,1,0.666666667,0.8
20210113,clip_33_1811,5,13/01/2021 18:11,0.1,81,0,-2.8,20,4.5,0,0,YOLOv5,feb_month,jan_apr_aug,0.005209964,2,night,266.4930715,113.4152606,18,2,Wednesday,7,Early Evening,0.4,1,0.4,0.571428571
20210114,clip_25_1330,115,14/01/2021 13:30,-2.3,87,0,-4.2,28,2,24,0,YOLOv5,feb_month,jan_apr_aug,0.007028803,4,day,208.1873043,82.1254426,13,3,Thursday,5,Early Afternoon,0.428571429,0.75,0.375,0.545454545
